JobID,Network Id,Existing 035a,Incoming 035a,Action
UWO_1012743_1748081412178::bib::1021141,991947747605151,8805302,8805302,match
UWO_1012743_1748081412178::bib::1022993,992519450005151,12881755,12881755,match
UWO_1012743_1748081412178::bib::1024456,992547561205151,28009193,28009193,match
UWO_1012743_1748081412178::bib::10259,991577407505151,606787468,606787468,match
UWO_1012743_1748081412178::bib::1027145,991738308305151,,26547090,match
UWO_1012743_1748081412178::bib::1028509,991848073505151,18383853,18383853,match
UWO_1012743_1748081412178::bib::1029894,992273680805151,912955406,912955406,match
UWO_1012743_1748081412178::bib::1032242,991491470105151,1066926197,1066926197,match
UWO_1012743_1748081412178::bib::1033591,991746487905151,51797650,51797650,match
UWO_1012743_1748081412178::bib::1036257,991601600505151,52790831,52790831,match
UWO_1012743_1748081412178::bib::104380,994538624405151,320358149,320358149,field transfer
UWO_1012743_1748081412178::bib::1043959,991747046805151,49594683,49594683,match
UWO_1012743_1748081412178::bib::1050602,991809318605151,36109639,36109639,match
UWO_1012743_1748081412178::bib::1052009,991689654705151,1105302877,1105302877,match
UWO_1012743_1748081412178::bib::1053153,992384290505151,49505178,49505178,match
UWO_1012743_1748081412178::bib::1055255,991504389005151,39459788,39459788,match
UWO_1012743_1748081412178::bib::1056561,992421992505151,317327198,317327198,match
UWO_1012743_1748081412178::bib::1057703,992194528805151,1080364337,1080364337,match
UWO_1012743_1748081412178::bib::1059070,992462892705151,5814665,5814665,match
UWO_1012743_1748081412178::bib::1061565,991681038705151,4538227,4538227,match
UWO_1012743_1748081412178::bib::1062953,992502026605151,41248800,41248800,match
UWO_1012743_1748081412178::bib::1063963,991963448405151,1105234775,1105234775,match
UWO_1012743_1748081412178::bib::1064917,991999718805151,1105239536,1105239536,match
UWO_1012743_1748081412178::bib::1066169,991930075705151,20319041,20319041,match
UWO_1012743_1748081412178::bib::1067457,991825688705151,29224124,29224124,match
UWO_1012743_1748081412178::bib::1071728,994538623105151,10272520,10272520,match
UWO_1012743_1748081412178::bib::1073063,991935202805151,613332829,613332829,match
UWO_1012743_1748081412178::bib::107447,994538419605151,1491111168,1491111168,field transfer
UWO_1012743_1748081412178::bib::1082246,992468524305151,1313011403,1313011403,match
UWO_1012743_1748081412178::bib::1088651,994538508605151,711539351,711539351,match
UWO_1012743_1748081412178::bib::1091382,991580986305151,5355165,5355165,match
UWO_1012743_1748081412178::bib::1114518,992254458705151,1220803,1220803,match
UWO_1012743_1748081412178::bib::1116504,991850035905151,4338511,4338511,match
UWO_1012743_1748081412178::bib::1117879,991745819405151,522103,522103,match
UWO_1012743_1748081412178::bib::1119567,991461198905151,1403500,1403500,match
UWO_1012743_1748081412178::bib::111962,994493542805151,25217767,25217767,match
UWO_1012743_1748081412178::bib::1120838,991461034905151,775841985,775841985,match
UWO_1012743_1748081412178::bib::1121848,992128597505151,437277,437277,match
UWO_1012743_1748081412178::bib::1127097,991834539705151,1519990380,1519990380,match
UWO_1012743_1748081412178::bib::1128003,991737626505151,67904203,67904203,match
UWO_1012743_1748081412178::bib::1129189,992179711505151,1071706783,1071706783,match
UWO_1012743_1748081412178::bib::1130473,992386442805151,1519986153,1519986153,match
UWO_1012743_1748081412178::bib::1131493,992021397305151,1066812233,1066812233,match
UWO_1012743_1748081412178::bib::1134861,992383092305151,1070691029,1070691029,match
UWO_1012743_1748081412178::bib::1136009,991418626805151,98435,98435,match
UWO_1012743_1748081412178::bib::113955,994535215605151,1519993695,1519993695,match
UWO_1012743_1748081412178::bib::1139673,991943996605151,1069287997,1069287997,match
UWO_1012743_1748081412178::bib::1140826,992417032505151,4880586,4880586,match
UWO_1012743_1748081412178::bib::1141809,992452092405151,1066812128,1066812128,match
UWO_1012743_1748081412178::bib::1143256,991856939105151,1069239721,1069239721,match
UWO_1012743_1748081412178::bib::1144379,992270982505151,1069289290,1069289290,match
UWO_1012743_1748081412178::bib::1145440,992271072805151,1071669028,1071669028,match
UWO_1012743_1748081412178::bib::1146280,992508341705151,892389,892389,match
UWO_1012743_1748081412178::bib::1148179,992185411405151,1069481254,1069481254,match
UWO_1012743_1748081412178::bib::1155368,992222164205151,598304946,598304946,match
UWO_1012743_1748081412178::bib::1156566,991726087305151,49040778,49040778,match
UWO_1012743_1748081412178::bib::1157962,992225674205151,39516012,39516012,match
UWO_1012743_1748081412178::bib::1159254,991572649905151,1071126450,1071126450,match
UWO_1012743_1748081412178::bib::117385,993589977605151,1255520199,1255520199,match
UWO_1012743_1748081412178::bib::1182839,991473788905151,1060185257,1060185257,match
UWO_1012743_1748081412178::bib::1183935,992368647705151,3449115,3449115,match
UWO_1012743_1748081412178::bib::1186360,991938406905151,978035818,978035818,match
UWO_1012743_1748081412178::bib::1187240,991756502405151,10895795,10895795,match
UWO_1012743_1748081412178::bib::1188132,992153352105151,37713159,37713159,match
UWO_1012743_1748081412178::bib::1188886,991544301305151,70363517,70363517,match
UWO_1012743_1748081412178::bib::1189787,991877790105151,620629,620629,match
UWO_1012743_1748081412178::bib::1193641,992521913705151,960911704,960911704,match
